Year,Member State,(SE005) Economic size (€'000),(SE010) Total labour input (AWU),(SE011) Labour input (hrs),(SE015) Unpaid labour input (AWU),(SE016) Unpaid labour input (hrs),(SE020) Paid labour input (AWU),(SE021) Paid labour Input (hrs),(SE025) Total Utilised Agricultural Area (ha),(SE026) Arable land (ha),(SE027) Permanent crops (ha),(SE028) Permanent grassland (ha),(SE030) Rented UAA (ha),(SE073) Set aside (ha),(SE074) Total agricultural area out of production (ha),(SE080) Total livestock units (LU),(SE085) Dairy cows (LU),(SE086) Cattle dairy cows (LU),(SE087) Buffalo dairy cows (LU),(SE120) Stocking density (LU/ha),(SE125) Milk yield (kg/cow),(SE126) Milk yield cattle dairy cows (kg/cow),(SE127) Milk yield buffalo dairy cows (kg/cow),(SE131) Total output (€/farm),(SE132) Total output / Total input (ratio),(SE206) Total output livestock & livestock products (€/farm),(SE207) Total livestock output (€/LU),(SE211) Change in value of livestock (€),(SE216) Cows' milk & milk products (€/farm),(SE022) Share of OGA work /AWU (%),(SE256) Other output (€/farm),(SE260) Farmhouse consumption (€),(SE265) Farm use (€),(SE270) Total Inputs (€),(SE275) Total intermediate consumption (€),(SE281) Total specific costs (€),(SE295) Fertilisers (€),(SE309) Specific livestock costs (€/LU),(SE310) Feed for grazing livestock (€),(SE315) Feed for grazing livestock home-grown (€),(SE330) Other livestock specific costs (incl. veterinary expenses) (€/farm),(SE336) Total farming overheads (€),(SE340) Machinery & building current costs (€),(SE345) Energy (€),(SE350) Contract work (€),(SE356) Other direct inputs (€),(SE360) Depreciation (€),(SE365) Total external factors (€),(SE370) Wages paid (€),(SE375) Rent paid (€),(SE380) Interest paid (€),(SE381) Balance of interest paid and received (€),(SE390) Taxes (€),(SE395) VAT balance excluding on investments (€),(SE405) Balance subsidies & taxes on investments (€),(SE406) Subsidies on investments (€),(SE407) Payments to dairy outgoers (€),(SE408) VAT balance on investments (€),(SE409) Subsidies on agricultural investments (€),(SE410) Gross Farm Income (€),(SE415) Farm Net Value Added (€),(SE420) Farm Net Income (€),(SE425) Farm Net Value Added (€/AWU),(SE430) Family Farm Income (€/FWU),(SE436) Total assets (€),"(SE437) Total assets, opening valuation (€)",(SE441) Total fixed assets (€),"(SE446) Land, permanent crops & quotas (€)",(SE450) Buildings (€),(SE455) Machinery and equipment (€),(SE460) Breeding livestock (€),(SE465) Total current assets (€),(SE470) Non-breeding livestock (€),(SE475) Stock of agricultural products (€),(SE476) Inventories (€),(SE480) Other circulating capital (€),(SE485) Total liabilities (€),(SE490) Long & medium-term loans (€),(SE495) Short-term loans (€),(SE501) Net worth (€),(SE506) Change in net worth (€),(SE510) Average farm capital (€),(SE516) Gross Investment on fixed assets (€),(SE521) Net Investment on fixed assets (€),(SE526) Cash Flow 1 (€),(SE530) Cash Flow 2 (€),(SE532) Cash flow / farm total capital (€),(SE600) Balance current subsidies & taxes (€),(SE605) Total subsidies - excluding on investments (€),(SE606) Total direct payments (€),(SE611) Compensatory payments/area payments (€),(SE612) Set aside premiums (€),(SE615) Total subsidies on livestock (€),(SE616) Subsidies dairying (€),(SE618) Subsidies sheep & goats (€),(SE621) Environmental subsidies (€),(SE622) LFA subsidies (€),(SE623) Other rural development payments (€),(SE624) Total support for rural development (€),(SE625) Subsidies on intermediate consumption (€),(SE626) Subsidies on external factors (€),(SE630) Decoupled payments (€),(SE631) Single Farm payment (€),(SE632) Single Area payment (€),(SE640) Additional aid (€),(SE650) Support_Art68 (€),(SE699) Other subsidies (€),(SE700) Total OGA output (€/farm),(SE720) Contractual work services (€),(SE725) Agritourism (€),(SE750) Total specific costs for OGA (€),(SE447) Agricultural land (€/farm),(SE462) Intangible assets (€/farm),(SE332) Veterinary expenses (€/farm),(SE765) Milk processing specific cost (€/farm),(SE766) Cows' milk processing specific cost (€/farm),(SE705) Processing of animals and animals' products (€/farm),(SE730) Other OGA output (€/farm),(SYS02) Farms represented (nb),national_milk_production_tonnes,Total agricultural area / country (ha),Total Dairy Grassland (ha),% Dairy grassland / Total utilised agricultural area (ha),Agricultrual Land Use,percentage_of_total_EU_milk_production,country_code,Component_0,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Predicated_Cluster,Predicated_Cluster_STR
2004,Belgium,141.3,1.6,4592.85,1.54,4469.16,0.05,123.69,42.06,18.02,0.06,23.99,32.02,0.23,0.23,80.83,48.43,0.0,0.0,2.23,5910.33,7235.17,1156.17,121220.0,1.32,107596.0,1331.21,-466.0,87578.0,2.675,2594.0,350.0,3247.0,91735.0,59255.0,37855.0,4432.0,341.7,18941.0,3201.0,7762.0,21400.0,6745.0,4211.0,7298.0,3146.0,18025.0,14455.0,866.0,6750.0,6839.0,0.0,1100.0,1955.0,-1435.0,624.0,0.0,-2059.0,0.0,75412.0,57387.0,41497.0,35910.02,26859.65,388226.0,386386.0,356762.0,183913.0,67047.0,44811.0,60990.0,31464.0,22638.0,906.0,0.0,7919.0,101843.0,101166.0,677.0,286382.0,7038.0,207739.0,19579.0,1553.0,59920.0,35097.0,0.09,13447.0,12592.0,10456.0,3613.0,80.0,6215.0,3335.0,0.0,421.0,462.0,0.0,884.0,0.0,1368.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,447.48,47.36,0.0,134171.0,0.0,0.0,0.0,0.0,0.0,0.0,6386.0,1827911.2822134001,268595.16000000003,153200.13999999998,57.03756538278648,0.015662977694758162,1.9591925543433073,BEL,-0.5907386580026939,0.024131132040012424,-0.09267098678492139,-0.025446323083773405,0.19348164863707965,0.012697427442897946,-0.06455153976337882,-0.03891249614702715,-0.04429363259717804,0.015584252836112164,-0.19274092223292913,-0.010844467699089182,-0.13120529952798676,0.06933213854051515,-0.129684128582998,0.13053477476258635,-0.13881985088049908,0.01166391110539835,-0.019367790588976048,0.16762661657844055,0.1787848032140438,0.12394392766742192,0.016837071421683013,-0.021572884438967325,0.026921215465126748,-0.06265043199763687,2,2
2004,Czechia,213.7,9.71,20131.29,1.61,3692.12,8.1,16439.17,233.72,120.23,0.17,113.32,211.97,0.0,1.1,138.5,78.77,0.0,0.0,0.85,5700.56,7235.17,1156.17,224395.0,0.93,134494.0,971.06,-1177.0,111892.0,2.675,18137.0,404.0,44920.0,241220.0,163009.0,98052.0,6774.0,562.41,65619.0,43166.0,9667.0,64957.0,15244.0,20460.0,7789.0,21465.0,19307.0,58903.0,53301.0,3197.0,2406.0,0.0,2442.0,0.0,331.0,331.0,0.0,0.0,0.0,102853.0,83545.0,24973.0,8602.53,8541.95,563626.0,544447.0,442550.0,30261.0,218599.0,135304.0,58386.0,121075.0,26174.0,28417.0,0.0,66484.0,144862.0,97250.0,47612.0,418764.0,17903.0,525978.0,19196.0,-111.0,38412.0,20215.0,0.04,41467.0,43909.0,24924.0,2.0,0.0,3721.0,0.0,8.0,5670.0,9901.0,54.0,15625.0,1766.0,1578.0,12839.0,0.0,12839.0,0.0,0.0,2965.0,0.0,8193.95,241.26,0.0,27265.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,541533.9321072,281866.32,136663.91999999998,48.48536710593873,0.08291873963515754,0.5804271017048284,CZE,0.03168061337337485,0.5297949602593068,-0.07207574870798648,-0.27717683027421713,0.14147222896830597,-0.04859515133226932,0.01939807306306168,0.08152965131452217,-0.12413672429658516,-0.03849745346938944,-0.08417043083200412,-0.12561676186697182,-0.1390716981632761,0.20990770310294693,-0.09307171803451064,0.022890593645071535,0.010712625251359954,-0.0835187620237932,-0.01244105209086024,0.10482631182117397,0.052840027318358386,-0.008241037921833338,-0.021720937560203286,-0.10224455188353214,0.03507082510443347,0.11984438814327722,2,2
2004,Denmark,311.9000000000001,1.96,4209.81,1.23,2924.05,0.72,1285.77,97.38,88.31,0.0,9.07,29.18,5.76,5.76,154.31,90.82000000000001,0.0,0.0,2.3,7899.36,7235.17,1156.17,276135.0,0.94,249871.0,1619.31,860.0,223194.0,2.675,6538.0,216.0,4437.0,294882.0,172889.0,107901.0,5802.0,571.85,64320.0,4187.0,21190.0,64988.0,20130.0,8133.0,24668.0,12057.0,37271.0,84722.0,21498.0,13127.0,50097.0,0.0,4079.0,0.0,393.0,393.0,0.0,0.0,0.0,134974.0,97703.0,13374.0,49951.99,10829.98,1598549.0,1492969.0,1428714.0,501207.0,720509.0,144712.0,62286.0,169835.0,35996.0,7364.0,0.0,126474.0,1052881.0,992685.0,60196.0,545668.0,16723.0,1035060.0,98686.0,61414.0,48210.0,38157.0,0.02,31728.0,35807.0,35009.0,19182.0,1859.0,11495.0,6140.0,9.0,1757.0,16.0,0.0,1773.0,0.0,915.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,2709.16,80.49,0.0,262115.0,0.0,0.0,0.0,0.0,0.0,0.0,5740.0,4117990.0836480004,558961.2,52061.8,9.314027521051552,0.017421602787456445,4.413745672040139,DNK,0.33521677641508657,-0.29992865843122174,-0.19539184689628522,-0.4010191559158706,-0.18542502296223726,-0.1188314533871901,-0.07901653082167834,0.10700200958928449,0.11623353690001802,0.2461319042820641,0.22690180960867912,0.17791332811845262,-0.08015158797050223,0.29529810111758964,0.07909032659556785,0.47428932032429005,-0.0828497013677955,0.6893926289397059,-0.14309409717747243,0.6848734356611283,0.6346994343412454,0.4385079032687508,-0.21573837469331278,0.5507240792765247,0.11475628665494268,0.11890339676237487,0,0
2004,Germany,141.2,1.8,3987.46,1.47,3240.38,0.34,747.08,56.82,27.27,0.02,29.53,36.83,1.81,1.89,77.65,43.53,0.0,0.0,1.85,6674.2,7235.17,1156.17,125617.0,1.06,104744.0,1348.87,-220.0,86530.0,2.675,9987.0,408.0,5926.0,118505.0,78398.0,39925.0,3947.0,396.59,22168.0,5626.0,7861.0,38473.0,10349.0,9691.0,6251.0,12183.0,20587.0,19520.0,6586.0,8537.0,4397.0,0.0,1205.0,1977.0,-1260.0,360.0,0.0,-1621.0,0.0,69791.0,49203.0,28423.0,27267.77,19080.3,631747.0,631630.0,566926.0,363086.0,85329.0,71210.0,47300.0,64821.0,23262.0,1982.0,0.0,39577.0,103175.0,72966.0,30209.0,528572.0,765.0,269730.0,18047.0,-2541.0,48381.0,29308.0,0.05,22571.0,21799.0,14269.0,7117.0,784.0,5636.0,2488.0,16.0,3391.0,2548.0,40.0,5978.0,1536.0,651.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2196.07,321.91,0.0,232677.0,0.0,0.0,0.0,0.0,0.0,0.0,69569.0,20211737.283894,3952910.58,2054372.57,51.971136923618445,0.00143742184018744,21.663351817052344,DEU,-0.5079369325947332,-0.3534159759513469,1.2962506189158243,-0.20007903375921662,-0.4131549130475189,0.12389455213237004,0.007245611212659809,-0.0706260169213235,-0.1710988225592347,0.04189911985466651,0.17274727394657025,0.03674027408295008,-0.112668040728662,-0.0012308010117125993,-0.08863370371848846,0.021450243407972136,-0.00858596504453217,0.24459800046039332,-0.06447799166355205,0.31632053957288464,0.14705787026524617,0.25710231356510765,-0.08745804704218445,0.10032638027489674,0.012885244776780009,0.026573964622690776,0,0
2004,Estonia,114.4,5.51,12601.1,1.73,4281.78,3.78,8319.32,192.64,131.17,0.04,61.43,137.42,0.0,4.43,81.84,49.07,0.0,0.0,0.58,5653.45,7235.17,1156.17,107696.0,1.08,71456.0,873.12,221.0,65391.0,2.675,5757.0,807.0,25525.0,99689.0,69950.0,48612.0,3578.0,479.44,35408.0,24370.0,3660.0,21338.0,4989.0,9732.0,2659.0,3958.0,9729.0,20010.0,18313.0,560.0,1137.0,0.0,310.0,285.0,4145.0,4260.0,0.0,-115.0,0.0,57206.0,47478.0,31613.0,8613.1,9724.960000000001,233173.0,190872.0,179803.0,21747.0,100079.0,32539.0,25438.0,53370.0,9397.0,16898.0,0.0,27075.0,44404.0,28883.0,15522.0,188768.0,22703.0,191379.0,30256.0,20527.0,35364.0,25098.0,0.11,19460.0,19485.0,11902.0,0.0,0.0,4895.0,0.0,6.0,5306.0,1836.0,286.0,7427.0,0.0,0.0,4818.0,0.0,4818.0,0.0,0.0,264.0,0.0,1742.63,15.05,0.0,13393.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.0,452463.5249365,314195.83999999997,100192.33,31.888496677740868,0.06131207847946045,0.48495962456892794,EST,-0.5693987322817831,0.4459711887943034,-0.15736399494673287,-0.09951375450552903,0.05659246762960605,-0.06649690235341255,-0.07429375757611645,0.12959387330078478,-0.09563029801661457,0.009156877172199197,-0.07152034650400202,-0.041930028065862025,-0.041856128019777894,0.1015281283261705,-0.030392268826326722,0.16642776564465753,-0.0016741438278096178,-0.010117809772906095,-0.01679631850498316,0.12243223270434964,-0.02925297606099031,-0.1612813775822807,-0.0853176847219758,-0.0424494306763817,0.03604187038766155,-0.022190232075044364,2,2
2004,Ireland,89.7,1.59,3719.36,1.38,3294.53,0.2,424.83,47.96,9.15,0.01,38.8,9.76,0.14,0.15,91.43,51.3,0.0,0.0,1.98,5347.78,7235.17,1156.17,99850.0,1.35,97406.0,1065.41,607.0,74481.0,2.675,777.0,335.0,4466.0,74021.0,51326.0,35075.0,6836.0,294.13,18496.0,4463.0,8396.0,16251.0,6688.0,3002.0,4768.0,1794.0,13249.0,9446.0,3543.0,3518.0,2385.0,0.0,185.0,4144.0,-893.0,661.0,0.0,-1553.0,0.0,64417.0,51168.0,40829.0,32254.06,29526.49,829532.0,776588.0,774440.0,615610.0,73238.0,30010.0,55582.0,55093.0,24513.0,5767.0,0.0,24813.0,41054.0,35007.0,6047.0,788478.0,53096.0,221745.0,10742.0,-2507.0,53048.0,43199.0,0.05,15893.0,11933.0,8697.0,660.0,53.0,7575.0,2541.0,116.0,1322.0,1856.0,323.0,3501.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,160.9,0.0,0.0,544074.0,0.0,0.0,0.0,0.0,0.0,0.0,16502.0,4527177.063227999,791435.92,640277.6,80.90075062552125,0.006059871530723547,4.852320613574839,IRL,-0.5747100596600402,-0.0871467059030265,0.2298431505589433,-0.12435336438121891,0.39257601714354556,0.027803714036637908,0.04410397478116317,-0.22310685524275906,-0.09801062675950399,0.038413808022946166,-0.1246311319857253,-0.07136482846731017,-0.11575552459490326,-0.06700287605293241,-0.10259620713410035,0.08617014397769863,-0.0455650704773428,0.08022537811744251,0.002645288009228877,0.07818005424292185,0.02804564744910259,0.15811197392514534,0.0672102432888616,-0.07535637327137512,0.04842374247794754,-0.15369138061905754,2,2
2004,Greece,37.3,2.04,4832.62,1.34,3266.56,0.7000000000000002,1566.05,9.8,9.6,0.16,0.04,4.94,0.0,0.0,37.0,26.62,0.0,0.0,8.77,4161.4,7235.17,1156.17,49734.0,1.15,43884.0,1186.15,-579.0,36396.0,2.675,125.0,388.0,3433.0,43278.0,34313.0,30326.0,699.0,769.47,27372.0,3316.0,1097.0,3987.0,598.0,1457.0,1461.0,471.0,3818.0,5147.0,3364.0,1121.0,663.0,0.0,13.0,-124.0,0.0,0.0,0.0,0.0,0.0,27142.0,23325.0,18177.0,11444.59,13575.17,133559.0,141623.0,115380.0,46319.0,22346.0,17887.0,28828.0,18179.0,8952.0,1840.0,0.0,7387.0,26382.0,22525.0,3857.0,107178.0,-24416.0,92524.0,-2324.0,-6142.0,21869.0,38503.0,0.29,11721.0,11858.0,9907.0,2956.0,0.0,3803.0,1027.0,19.0,0.0,1950.0,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,32375.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.2238095238,268990.05713255133,23796.59333333324,97.128952380952,0.40816326530612246,0.04118236531895758,0.288309023667895,GRC,-0.9238715829348528,0.30480613553090014,-0.36578833000017463,0.1246458858264384,-0.17218804421213227,-0.18632041821475334,0.0031606823327554523,0.4261213969494499,-0.15227504356366767,0.041577141395827306,-0.2263862997872757,0.21329679990712577,-0.04864697737101094,-0.12641177677421545,0.053162004785705486,-0.04559364506170388,-0.06810741256721461,0.196176548812579,0.11178158699106971,0.14928296485325476,0.050990826969011624,-0.11510080097841031,-0.044690591843760945,0.04487008374549219,-0.07082476088459624,-0.1749032233546181,2,2
2004,Spain,69.5,1.43,3130.87,1.39,3041.25,0.04,89.62,18.7,10.02,0.15,8.540000000000001,7.63,0.64,0.81,39.53,29.47,0.0,0.0,2.49,5814.41,7235.17,1156.17,68276.0,1.63,60153.0,1521.79,-504.0,53672.0,2.675,82.0,225.0,6588.0,41837.0,37335.0,31071.0,989.0,738.89,26209.0,6587.0,2923.0,6264.0,1772.0,2120.0,999.0,1373.0,2682.0,1821.0,554.0,943.0,323.0,0.0,166.0,137.0,-474.0,160.0,0.0,-635.0,0.0,38921.0,36239.0,33944.0,25305.57,24406.09,323038.0,307294.0,254143.0,171653.0,34177.0,12768.0,35546.0,68896.0,4567.0,2413.0,0.0,61915.0,8930.0,8587.0,342.0,314109.0,15167.0,149977.0,5031.0,2349.0,37007.0,32274.0,0.1,7979.0,8008.0,7484.0,1002.0,83.0,6230.0,4819.0,37.0,23.0,419.0,0.0,442.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,19.92,0.0,0.0,109837.0,0.0,0.0,0.0,0.0,0.0,0.0,27919.0,4783939.1519213,522085.3,238428.26000000004,45.66844919786097,0.0035837055745488334,5.127523451535562,ESP,-0.8171259295963264,0.0679902519800782,-0.005807667739729799,0.042384726434038934,0.009592407701120083,-0.13851354440947444,0.07185600880494705,-0.034899239376247206,0.04207996137083296,-0.07347342351215155,-0.12606651737319333,0.09443339286418687,-0.005599669782452036,-0.08772228800796827,-0.09257973239601958,-0.0317236693610047,0.054227669211244965,0.12166297785251401,-0.04747114665257775,0.0254401699815253,0.074642089058299,0.02976969104860415,0.0334976583183461,0.03992911464113634,-0.008878388057949238,-0.02888609414491896,2,2
2004,France,105.9,1.72,2753.31,1.62,2588.3,0.1,165.01,73.76,49.28,0.06,24.42,63.14,1.83,1.85,77.3,42.76,0.0,0.0,1.41,6182.97,7235.17,1156.17,116627.0,1.05,101511.0,1313.2,-548.0,81872.0,2.675,2498.0,576.0,3268.0,111130.0,74106.0,36382.0,6276.0,297.18,18689.0,3171.0,3965.0,37724.0,8020.0,4900.0,10972.0,13833.0,23528.0,13497.0,1553.0,7760.0,4184.0,0.0,1613.0,1.0,1305.0,1304.0,1.0,0.0,0.0,62810.0,39282.0,27090.0,22863.6,16746.13,292899.0,284559.0,208911.0,30140.0,71581.0,56177.0,51013.0,83989.0,22710.0,4242.0,0.0,57038.0,113644.0,82441.0,31203.0,179255.0,4699.0,261976.0,21705.0,-1823.0,50015.0,31417.0,0.11,20288.0,21901.0,17976.0,10320.0,749.0,6169.0,2908.0,11.0,1884.0,1771.0,0.0,3655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,0.0,33.35,42.52,0.0,29246.0,0.0,0.0,0.0,0.0,0.0,0.0,58146.0,15372860.271991197,4288848.96,1419925.32,33.10737527114968,0.0017198087572661922,16.476944847878567,FRA,-0.5828720225219948,-0.1435443060216023,1.0446542604035682,-0.1475004941706416,-0.5160208890682213,0.020324707651683434,-0.09193427952200334,0.10192825512374576,-0.15255848552972423,-0.005613299464238869,0.07024820011689152,0.07204617976216804,-0.055329491639134025,0.04039184040264505,-0.011454796746486268,0.17766778265711272,-0.10219343835675708,0.27255933150792805,-0.07687074409424782,0.403460005046102,0.15666591467861393,0.15126095493785302,-0.10523648606936181,0.2156117731807784,0.0016400656375234754,-0.025378005181695352,2,2
2004,Italy,113.3,2.07,4898.46,1.78,4309.98,0.29,588.47,29.67,24.97,0.31,4.39,16.41,0.46,0.48,68.71000000000001,45.04,0.0,0.0,2.93,6266.72,7235.17,1156.17,153821.0,1.4,122420.0,1781.63,-274.0,109222.0,2.675,1829.0,677.0,23947.0,109984.0,86835.0,72975.0,1739.0,992.82,63957.0,23917.0,4184.0,13860.0,2741.0,5703.0,1230.0,4186.0,14479.0,8670.0,4907.0,3068.0,695.0,0.0,2139.0,3336.0,779.0,779.0,0.0,0.0,0.0,77644.0,63164.0,55274.0,30540.38,30784.32,779671.0,781175.0,639347.0,418862.0,108591.0,57734.0,54161.0,140323.0,16370.0,7905.0,0.0,116048.0,19085.0,13794.0,5291.0,760586.0,181.0,364204.0,8851.0,-5628.0,68922.0,58009.0,0.07,10658.0,9461.0,8298.0,3457.0,187.0,3733.0,2682.0,15.0,909.0,677.0,0.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,151.28,454.83,0.0,307941.0,0.0,0.0,0.0,0.0,0.0,0.0,44056.522809869,12435088.763742723,1307157.0317688133,193408.13513532488,14.796090326929557,0.002269811451792542,13.328181490855654,ITA,-0.4592554171987436,-0.24178240382026606,0.17903312502896185,-0.002574232222732701,-0.275113233402432,0.05700255378307458,0.22995992674135787,0.1158030382401749,0.09735421126124598,-0.12473828793238378,-0.07225542832197118,0.21753483141000038,0.09964734590842769,-0.008937062639806067,-0.2012039585200672,-0.055415352948996854,0.15248311859281555,0.16543509142322219,-0.06589152904083356,0.2107350462546485,0.07634618365219085,-0.15407892959117456,0.11324559404841236,0.05938887506038858,0.0015289453931168035,0.11252691199363314,2,2
